Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
=CHPh (benzylidene),X2,C1C=CC([CH-2])=CC=1,-2,,283
FBF₃ (tetrafluoroborate),L,B(F)(F)(F)F,0,,284
CNMe (methyl isocyanide),L,[C-]#[N+]C,0,,285
OCPh₃ (triphenylmethoxy),X,C(C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)[O-],-1,,286
⭀NMes (⭀NMes mesitylimino),LX2,[N-2]C1C(C)=CC(C)=CC=1C,-2,,287
NC₄H₄ (pyrrolyl),X,[N-]1C=CC=C1,-1,,288
"[14]aneS₄ (1,4,8,11-tetrathiocyclotetradecane-κ⁴S)",L4,C1SCCSCCCSCCSCC1,0,,289
"[14]aneN₄ (1,4,8,11-tetraazacyclotetradecane-κ⁴N)",L4,C1CCNCCNCCCNCCN1,0,,290
NO₂ (nitrito-κO),X,[O-]N=O,-1,,291
"[18]aneN₆ (1,4,7,10,13,16-hexaaza-cyclo-octadecane-κ⁶N)",L6,C1NCCNCCNCCNCCNCCNC1,0,,292
NH₂Me (methylamine),L,NC,0,,293
C₅H₄(SiMe₃) (η⁵-(trimethylsilyl)cyclopentadienyl),L2X,[CH-]1C([Si](C)(C)C)=CC=C1,-1,,294
Tol-p (p-tolyl),X,C1C=[C-]C=CC=1C,-1,,295
CH₂Ph (η³-benzyl),LX,C1C=CC=C([CH2-])C=1,-1,,296
Dmso (dimethylsulfoxide-κS),L,CS(=O)C,0,,297
"Gly (glycinato-κN,κO)",LX,NCC([O-])=O,-1,,298
NH₂Buᵗ (t-butylamine),L,NC(C)(C)C,0,,299
"[10]aneN₃ (1,4,7-triazacyclodecane-κ³N)",L3,N1CCNCCNCCC1,0,TACD,300
OC(H)CHC(H)O (propanedionato),LX,C([H])([CH-]C([H])=O)=O,-1,,301
"Edta-H (ethylenediaminetriacetato-acetic acid-κ²N,κ³O)",L2X3,C(NCC([O-])=O)CN(CC([O-])=O)CC([O-])=O,-3,,302
Se₂PPh₂ (diselenodiphenylphosphinato),LX,P([S-])(=S)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,303
S₂PEt₂ (dithiodiethylphosphinato),LX,P(CC)(CC)(=S)[S-],-1,,304
S₂PMe₂ (dithiodimethylphosphinato),LX,P(C)(C)([S-])=S,-1,,305
S₂PPh₂ (dithiodiphenylphosphinato),LX,P(C1C=CC=CC=1)(C1C=CC=CC=1)([S-])=S,-1,,306
Te₄ (tetratellurido-κ²Te),X2,[Te-][Te][Te][Te-],-2,,307
C₅Ph₅ (η⁵-pentaphenylcyclopentadienyl),L2X,[C-]1(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C(C2C=CC=CC=2)=C1C1C=CC=CC=1,-1,,308
C≡CH (ethynyl),X,[C-]#C,-1,,309
Dien (diethylenetriamine-κ³N),L3,NCCNCCN,0,,310
"Tripod (1,1,1-tris-(dimethylphosphino)-methyl)-ethane)",L3,C(C)(CP(C)C)(CP(C)C)CP(C)C,0,,311
O=CH(NH₂) (formamido-κO),L,O=CN,0,,312
SC₆F₅ (pentafluorothiophenyl),X,C1(F)C(F)=C(F)C(F)=C(F)C=1[S-],-1,,313
NEtH₂ (ethylamine),L,NCC,0,,314
"Tet (1,4,8,11-tetraazaundecane-κ⁴N)",L4,NCCNCCCNCCN,0,,315
"[15]aneN₄ (1,4,8,12-tetraazacyclopentadecane-κ⁴N)",L4,C1CNCCNCCCNCCNC1,0,,316
Ttp (tetratolylporphyrin),L2X2,"C1=C2C(C3C=CC(C)=CC=3)=C3C=CC(C(C4C=CC(C)=CC=4)=C4C=CC(=C(C5C=CC(C)=CC=5)C5C=CC(=C(C6C=CC(C)=CC=6)C([N-]2)=C1)N=5)[N-]4)=N3 |c:27,40,t:23|",-2,,317
=NEt (ethylimino),X2,[N-2]CC,-2,,318
P(OMe)₃ (trimethylphosphite),L,P(OC)(OC)OC,0,,319
(O)₃ (trioxo X₆L₂ Ⓢ),L2X6,[O-2].[O-2].[O-2],-6,,320
=CPh₂ (diphenylmethylidene),X2,[C-2](C1C=CC=CC=1)C1C=CC=CC=1,-2,,321
NHPrⁱ (isopropylamino: planar),LX,[NH-]C(C)C,-1,,322
(O)₄ (tetraoxo X₈L Ⓢ),LX8,[O-2].[O-2].[O-2].[O-2],-8,,323
O₂CMe (acetato-κO),X,C(=O)([O-])C,-1,,324
CNPh (phenyl isocyanide),L,[C-]#[N+]C1C=CC=CC=1,0,,325
PF₆ (hexafluorophosphato-κF),L,P(F)(F)(F)(F)(F)F,0,,326
N₂ (dinitrogen),L,N#N,0,,327
NCNH₂ (cyanamido),L,N#CN,0,,328
NCEt (ethylnitrile),L,N#CCC,0,,329
C₅H₄Buᵗ (η⁵-t-butyl-cyclopentadienyl),L2X,[CH-]1C=C(C(C)(C)C)C=C1,-1,,330
"≡CPh (phenylmethylidyne, benzylidyne)",X3,C1C=CC([C-3])=CC=1,-3,,331
≡CNPrⁱ₂ (diisopropylaminomethylidyne),X3,[C-3]N(C(C)C)C(C)C,-3,,332
CS (thiocarbonyl),L,[S+]#[C-],0,,333
C₆Et₆ (hexaethylbenzene),L3,C1(CC)C(CC)=C(CC)C(CC)=C(CC)C=1CC,0,,334
HC≡CH (ethyne),L,C#C,0,,335
As₃ (triarsenido),X3,[As-]1[As-][As-]1,-3,,336
≡CNMe₂ (dimethylaminomethylidyne),X3,[C-3]N(C)C,-3,,337
"NS (thionitrosyl, linear)",LXZ,N#[S+],1,,338
≡CNEt₂ (diethylaminomethylidyne),X3,[C-3]N(CC)CC,-3,,339
P(OPh)₃ (triphenylphosphite),L,P(OC1C=CC=CC=1)(OC1C=CC=CC=1)OC1C=CC=CC=1,0,,340
≡CMe (ethylidyne),X3,[C-3]C,-3,,341
Cot (η⁶-cyclooctatetraene),L3,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,342
COCF₃ (trifluoroacetyl),X,[C-](C(F)(F)F)=O,-1,,343
CS (thiocarbonyl X₂),X2,[C-2]=S,-2,,344
C(CH₂)₃ (η⁴-trimethylenemethane),LX2,C=C([CH2-])[CH2-],-2,,345
=C=C=CPh₂ (diphenylallenylidene),X2,[C-2]=C=C(C1C=CC=CC=1)C1C=CC=CC=1,-2,,346
PCy₃ (tricyclohexylphosphane),L,P(C1CCCCC1)(C1CCCCC1)C1CCCCC1,0,,347
Ru(CO)₂Cp (dicarbonylcyclopentadienylruthenium),X,[Ru]1234(C5[C-]1C2=C3C=54)(C#O)C#O,-1,,348
Se₂ (perseleno-κ²Se),X2,[Se-][Se-],-2,,349
PH₃ (phosphane),L,P,0,,350
C(OMe)Me (methoxymethylcarbene),L,COCC,0,,351
Dpae (bis(diphenylarsino)ethane-κ²As),L2,C([As](C1C=CC=CC=1)C1C=CC=CC=1)C[As](C1C=CC=CC=1)C1C=CC=CC=1,0,,352
Nbd (η⁴-norbornadiene),L2,C1=CC2CC1C=C2,0,,353
"Se(Me)CH₂CH₂SeMe (2,5-diselenohexane-κ²Se)",L2,[Se](C)CC[Se]C,0,,354
AlCp* (pentamethylcyclopentadienylaluminium),L,[Al]123C4(C)=C1(C)C(C)C2(C)=C43C,0,,355
AsMe₃ (trimethylarsane),L,[As](C)(C)C,0,,356
BiBuᵗ₃ (tri-t-buylbismuthane),L,[Bi](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0,,357
BiMe₃ (trimethylbismuthane),L,[Bi](C)(C)C,0,,358
BiPh₃ (triphenylbismuthane),L,[Bi](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,359
CNCF₃ (trifluoromethyl isocyanide),L,[C-]#[N+]C(F)(F)F,0,,360
CNH (hydrogen isocyanide),L,C#N,0,,361
C(NMe₂)Me (dimethylmethylaminocarbene),L,[C-](/C)=[N+](\C)/C,0,,362
C(OMe)Ph (methoxyphenylcarbene),L,C1(C=CC=CC=1)COC,0,,363
Cht (η⁶-cycloheptatriene),L3,C1=CC=CC=CC1,0,,364
C(NEt₂)Cl (diethylaminochlorocarbene),L,ClCN(CC)CC,0,,365
C(OCH₂CH₂CH₂) (2-oxocyclopentylidene),L,C1OCCC1,0,,366
C(OEt)Me (ethoxymethylcarbene),L,C(C)OCC,0,,367
C(OEt)SiPh₃ (ethoxytriphenylsilylcarbene),L,C([Si](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1)OCC,0,,368
C(OH)Ph (hydroxyphenylcarbene),L,C(C1C=CC=CC=1)O,0,,369
C(SPh)Me (phenylthiomethylcarbene),L,CCSC1C=CC=CC=1,0,,370
GaBr(THF)₂ (bromo-bis(tetrahydrofuran)gallium),L,[Ga](O1CCCC1)(O1CCCC1)Br,0,,371
GaCp (cyclopentadienylgallium),L,[C-]12[Ga]345C1=C3C4=C25,0,,372
GaCp* (pentamethylcyclopentadienylgallium),L,[C-]12([Ga]345C1(C)=C3(C)C4(C)=C25C)C,0,,373
InCp* (pentamethylcyclopentadienylindium),L,[In]1234C5(C)=C1(C)C2(C)=C3(C)[C-]54C,0,,374
NCNEt₂ (diethylcyanamide),L,N#CN(CC)CC,0,,375
PBr₃ (tribromophosphane),L,P(Br)(Br)Br,0,,376
PCl₃ (trichlorophosphane),L,P(Cl)(Cl)Cl,0,,377
Pip (piperidine),L,C1CNCCC1,0,,378
SbMe₃ (trimethylstibane),L,[Sb](C)(C)C,0,,379
SbPh₃ (triphenylstibane),L,[Sb](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,380
SCMe₂ (thioacetone),L,CC(=S)C,0,,381
SHBuᵗ (t-butyl-thiol),L,SC(C)(C)C,0,,382
SO₂ (dioxo-sulfur-κS),L,S(=O)=O,0,,383
SPMe₃ (trimethylphosphane sulfide),L,P(=S)(C)(C)C,0,,384
GeCl₃ (trichlorogermyl),X,[Ge-](Cl)(Cl)Cl,-1,,385
GeI₃ (triiodogermyl),X,[Ge-](I)(I)I,-1,,386
InBr₃ (tribromoindane),Z,[In+](Br)(Br)Br,1,,387
InCl₃ (trichloroindane),Z,[In+](Cl)(Cl)Cl,1,,388
PC₅H₅ (phosphinine),L,C1C=CC=PC=1,0,,389
PhC≡CPh (diphenylethyne L₂),L2,C(C1C=CC=CC=1)#CC1C=CC=CC=1,0,,390
SnBr₃ (tribromostannyl),X,[Sn-](Br)(Br)Br,-1,,391
SnCl₃ (trichlorostannyl),X,[Sn-](Cl)(Cl)Cl,-1,,392
CSe (selenocarbonyl),L,[C-]#[Se+],0,,393
C(OEt)Tol (ethoxytolylcarbene),L,O(CC)CC1C=CC(C)=CC=1,0,,394
"Cod (η²,η²-cycloocta-1,5-diene)",L2,"C1C=CCCC=CC1 |c:1,5|",0,,395
H₂ (η²-dihydrogen),L,[HH],0,,396
PPrⁱ₃ (triisopropylphosphane),L,P(C(C)C)(C(C)C)C(C)C,0,,397
PBuⁿ₃ (tri-n-butylphosphane),L,P(CCCC)(CCCC)CCCC,0,,398
CrO₄ (chromato),L,[Cr]([O-])(=O)([O-])=O,-2,,399
Cy (cyclohexyl),X,C1CCC[CH-]C1,-1,,400
OCHBuᵗ₂ (bis(t-butyl)-methoxy),X,[O-]C(C(C)(C)C)C(C)(C)C,-1,,401
C=CHPh (phenylvinylidene),X2,[C-2]=CC1C=CC=CC=1,-2,,402
"C=CH₂ (vinylidene, ethynylidene)",X2,[C-2]=C,-2,,403
OPMePh₂ (methyldiphenylphosphane oxide),L,P(=O)(C)(C1C=CC=CC=1)C1C=CC=CC=1,0,,404
Se₄ (tetraseleno-κ²Se),X2,[Se-][Se][Se][Se-],-2,,405
S₆ (hexasulfanediyl-κ²S),X2,[S-]SSSS[S-],-2,,406
ClO₄ (perchlorato-κO),X,O=Cl([O-])(=O)=O,-1,,407
OHEt (ethanol),L,CCO,0,,408
(⭀NMe)₂ (di(⭀NMe methylimino) Ⓢ),LX2,[N-2]C,-2,,409
(⭀NBuᵗ)₃ (tri(⭀NBuᵗ t-butylimino) Ⓢ),LX2,[N-2]C(C)(C)C,-2,,410
MnO₄ (tetraoxomanganese-κO),X,[Mn](=O)(=O)(=O)[O-],-1,,411
Tren-Me₆ (tris(2-dimethylaminoethyl)amine-κ⁴N),L4,N(CCN(C)C)(CCN(C)C)CCN(C)C,0,,412
O=C(NHMe)₂ (dimethylurea),L,O=C(NC)NC,0,,413
"[14]aneN₄-Me₄ (tetramethyl-1,4,8,11-tetraazacyclotetradecane-κ⁴N)",L4,C1N(C)CCCN(C)CCN(C)CCCN(C)C1,0,,414
O₂CC₆H₄(O)-o (salicylato-κ²O),X2,C1C=CC([O-])=C(C(=O)[O-])C=1,-2,,415
NC₅H₄CO₂ (isonicotinato-κN),L,C1C=C(C([O-])=O)C=CN=1,-1,,416
O=CH(NMe₂) (dimethylformamido-κO),L,O=CN(C)C,0,,417
C₄Ph₄ (η⁴-tetraphenylcyclobutadiene),L2,C1(C2C=CC=CC=2)C(C2C=CC=CC=2)=C(C2C=CC=CC=2)C=1C1C=CC=CC=1,0,,418
Pc (phthalocyaninato 2⊖),L2X2,"C12N=C3C4C=CC=CC=4C(N=C4[N-]C(=NC5C6C=CC=CC=6C(=NC(=C6C=CC=CC6=1)[N-]2)N=5)C1C=CC=CC4=1)=N3 |c:11,14,t:1,24|",-2,,421
"[14]aneN₄ (1,4,7,10-tetraazacyclotetradecane-κ⁴N)",L4,C1CNCCNCCCNCCNC1,0,,422
OHCH₂CH₂OH (ethanediol-κ²O),L2,OCCO,0,,423
12-crown-4 (12-crown-4-κ³O),L3,C1OCCOCCOCCOC1,0,,424
O=C(NHEt)₂ (diethylurea),L,O=C(NCC)NCC,0,,425
"OC(S)Ph (thiobenzoate-κO,κS)",LX,[S-]C(C1C=CC=CC=1)=O,-1,,426
Cp-η³ (η³-cyclopentadienyl),LX,[CH-]1C=CC=C1,-1,,427
C≡CSiEt₃ (triethylsilylalkynyl),X,[C-]#C[Si](CC)(CC)CC,-1,,428
"Bpy (bipyridine-4,4')",L,N1C=CC(C2C=CN=CC=2)=CC=1,0,,429
SO₂ (dioxosulfur-κO),L,S(=O)=O,0,,430
N₃ (μ₂-azido),LX,[N-]=[N+]=[N-],-1,,431
"Bpy (μ₂-bipyridine-4,4')",L,C1N=CC=C(C2C=CN=CC=2)C=1,0,,432
N(CH)₄N (μ₂-pyrimidine),L2,N1C=NC=CC=1,0,,433
"(CO)₄ (tetracarbonyl, (C≡O)₄ trigonal bipyramidal C3v Ⓢ)",L4Z2,[O+]#[C-].[C-]#[O+].[C-]#[O+].[C-]#[O+],0,,434
PPh(OMe)₂ (dimethyl-phenyl-phosphonito),L,P(C1C=CC=CC=1)(OC)OC,0,,435
"(NO)₂ (dinitrosyl, (N≡O)₂ TBPY-eq Ⓢ)",LX,O=[N-].O=[N-],0,,436
C=CMe₂ (dimethylvinylidene),X2,[C-2]=C(C)C,-2,,437
=CFH (fluoromethylidene),X2,[CH-2]F,-2,,438
=CMe₂ (dimethylmethylidene),X2,[C-2](C)C,-2,,439
=CTol₂ (ditolylmethylidene),X2,C1(C=CC(C)=CC=1)[C-2]C1C=CC(C)=CC=1,-2,,440
PHPh₂ (diphenylphosphane),L,P(C1C=CC=CC=1)C1C=CC=CC=1,0,,441
"(CO)₅ (pentacarbonyl, (C≡O)₅ trigonal bipyramidal Ⓢ)",L5Z2,[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+].[C-]#[O+],2,,442
S₂CH (dithioformato-κ²S),LX,[S-]C=S,-1,,443
CH₂COMe (acetylmethyl),X,[CH2-]C(=O)C,-1,,444
CH₂(PPh₃) (triphenylphosphonium-ylide),X,[CH-]=P(C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,445
COPh (benzoyl),X,C1(C=CC=CC=1)[C-]=O,-1,,446
CO₂Me (methoxycarbonyl),X,[C-](=O)OC,-1,,447
SC(NMe₂)₂ (dimethylthiourea),L,S=C(N(C)C)N(C)C,0,,448
Fe(CO)₂Cp (dicarbonylcyclopentadienyliron),X,[Fe]1234(C5C1=C2[C-]3C=54)(C#O)C#O,-1,,449
Mn(CO)₅ (pentacarbonylmanganese),X,[Mn](C#O)(C#O)(C#O)(C#O)C#O,-1,,450
Dppp (bis-(diphenylphosphino)propane),L2,P(C1C=CC=CC=1)(C1C=CC=CC=1)CCCP(C1C=CC=CC=1)C1C=CC=CC=1,0,,451
"[10]aneS₃ (1,4,7-trithiocyclodecane-κ³S)",L3,C1SCCCSCCSC1,0,,452
C(OH)Me (hydroxymethylcarbene),L,C[C-2]O,-2,,453
Re(CO)₅ (pentacarbonylrhenium),X,[Re](C#O)(C#O)(C#O)(C#O)C#O,0,,454
CHO (formyl),X,[CH-]=O,-1,,455
C(OMe)H (methoxycarbene),L,[CH-2]OC,-2,,456
BiPh₂ (diphenylbismuthido),X,[Bi-](C1C=CC=CC=1)C1C=CC=CC=1,-1,,457
CNC₆F₅ (pentafluorophenyl isocyanide),L,[C-]#[N+]C1C(F)=C(F)C(F)=C(F)C=1F,0,,458
CNEt (ethyl isocyanide),L,[N+](#[C-])CC,0,,459
CH₂=C=CH₂ (allene),L,C=C=C,0,,460
C(NH₂)Me (aminomethylcarbene),L,[C-2](C)N,-2,,461
C(NH₂)Ph (aminophenylcarbene),L,[C-2](C1C=CC=CC=1)N,-2,,462
C(OEt)Ph (ethoxyphenylcarbene),L,[C-2](C1C=CC=CC=1)OCC,-2,,463
C(SPh)Ph (phenylthiophenylcarbene),L,S(C1C=CC=CC=1)[C-2]C1C=CC=CC=1,-2,,464
C₈H₁₄ (η²-cyclooctene),L,C1CCCCCC=C1 |c:6|,0,,465
C₈H₁₄ (cyclooctene),L,C1CCCCC=CC1 |c:5|,0,,466
"(NO)₂ (dinitrosyl, (N≡O)₂ tetrahedral Ⓢ)",L2X2,N#O.N#O,0,,467
PCy₂H (dicyclohexylphosphane),L,C1(PC2CCCCC2)CCCCC1,0,,468
SPh₂ (diphenylthioether),L,S(C1C=CC=CC=1)C1C=CC=CC=1,0,,469
Tcne (tetracyanoethene),L,C(/C#N)(\C#N)=C(\C#N)/C#N,0,,470
Cot (η²-cyclooctatetraene),L,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,471
Nbd (η²-norbornadiene),L,C1C2C=CC1C=C2,0,,472
GaCp₂ (di-cyclopentadienyl-gallanyl),X,[Ga]12345678(C9[C-]1C2=C3C=94)C1=C5[C-]6C7=C18,-1,,473
"(NO)₄ (tetranitrosyl, (N≡O)₄ tetrahedral Ⓢ)",L6,N#O.N#O.N#O.N#O,0,,474
OTeF₅ (pentafluorooxytellurium),X,[Te]([O-])(F)(F)(F)(F)F,-1,,475
"(NO)₃ (trinitrosyl, (N≡O)₃ tetrahedral Ⓢ)",L4X,N#O.N#O.N#O,0,,476
SiPh₃ (triphenylsilyl),X,[Si-](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,-1,,477
TeCl₄ (tetrachloro-tellanyl),X,[Te-](Cl)(Cl)(Cl)Cl,-1,,478
Mo(CO)₃Cp (tricarbonylcyclopentadienylmolybdenum),X,[Mo]1234([C-]5C1=C2C3=C54)(C#O)(C#O)C#O,-1,,479
SiMe₃ (trimethylsilyl),X,[Si-](C)(C)C,-1,,480
18-crown-6 (18-crown-6-κ⁵O),L5,C1OCCOCCOCCOCCOCCOC1,0,,481
NO (nitrosyl X),X,[N-]=O,-1,,482
Oec (octaethylcorrelato),L2X2,"N1C2C=C3C=CC(=CC4C=CC(=CC5=CC=C(C1=CC=2)[N-]5)N=4)[N-]3 |t:2,6,11|",-2,,483
FSbF₅ (hexafluoroantimonato),L,[Sb](F)(F)(F)(F)(F)F,0,,484
S₂CN(CH₂)₄ (tetramethylenedithiocarbamato-κ²S),LX,C1CCN(C([S-])=S)C1,-1,,485
"Diars (1,2-bis-(dimethylarsino)benzene-κ²As)",L2,C1C=CC=C([As](C)C)C=1[As](C)C,0,,486
"NO (nitrosyl⊕, (N≡O)⊕ bent MNO)",XZ,[N]=O,0,,487
NO₂ (nitro-κN),X,[N+]([O-])=O |^1:0|,0,,488
C₃Ph₃ (η³-triphenylcyclopropenyl),X3,C1(C2C=CC=CC=2)[C-](C2C=CC=CC=2)C=1C1C=CC=CC=1,-1,,489
Pyz (pyrazine),L,C1C=NC=CN=1,0,,490
C₈H₁₃ (η³-cyclooctenyl),LX,C1CCC=C[CH-]CC1 |c:3|,-1,,491
Te₂ (pertellurido-κTe),L,[Te]=[Te],0,,492
CS₃ (thiocarbonato-κS²),X2,C([S-])([S-])=S,-2,,493
C₄H₆ (trimethylenemethane),LX2,C([CH2-])([CH2-])=C,-2,,494
N₂C₄H₆ (1-methyl-1H-imidazole),L,C1N(C)C=CN=1,0,,495
=CCl₂ (dichloromethylidene),X2,[C-2]=C(Cl)Cl,-2,,496
=CF₂ (difluoromethylidene),X2,[C-2]=C(F)F,-2,,497
=CHMe (methylmethylidene),X2,[C-2]=CC,-2,,498
GeEt₃ (triethylgermyl),X,[Ge-](C)(C)C,-1,,499
SiF₃ (trifluorosilyl),X,[Si-](F)(F)F,-1,,500
P(OEt)₃ (triethylphosphite),L,P(OCC)(OCC)OCC,0,,501
SiF₂Me (methyldifluorosilyl),X,[Si-](C)(F)F,-1,,502
SiMe₂Ph (dimethylphenylsilyl),X,[Si-](C1C=CC=CC=1)(C)C,-1,,503
Cr(CO)₅ (pentacarbonylchromium),Z,[Cr+](C#O)(C#O)(C#O)(C#O)C#O,1,,504
"Dppen (1,2-bis-(diphenylphosphino)ethene)",L2,C(/P(C1C=CC=CC=1)C1C=CC=CC=1)=C/P(C1C=CC=CC=1)C1C=CC=CC=1,0,,505
Dmg-H (dimethylglyoximato),LX,C(/C)(=N/O)\C(\C)=N\[O-],-1,,506
W(CO)₅ (pentacarbonyltungsten),Z,[W+](C#O)(C#O)(C#O)(C#O)C#O,1,,507
HgBr (bromomercury),X,Br[Hg],1,,508
O₂CBuᵗ (pivalato-κO),X,O(C(C)(C)C)[C-]=O,-1,,509
TePh₂ (diphenyltellurane),L,[Te](C1C=CC=CC=1)C1C=CC=CC=1,0,,510
"Tpm* (tris(3,5-dimethylpyrazolyl)methane-κ³N)",L3,C(N1C(C)=CC(C)=N1)(N1C(C)=CC(C)=N1)N1C(C)=CC(C)=N1,0,,511
"CH(SCH₂CH₂S) (2,5-dithiacyclopentyl)",X,C1(C)SCCS1,-1,,512
CH₂Cl (chloromethyl),X,[CH2-]Cl,-1,,513
CH₂CO₂H (carboxylmethyl),X,[CH2-]C(O)=O,-1,,514
CH₂OMe (methoxymethyl),X,[CH2-]OC,-1,,515
CH₂(SMe)₂ (dithiomethyl-methyl),X,[S+]([CH2-])(C)C,0,,516
SO₃ (trioxosulfur-κS Z),Z,[S+](=O)([O-])=O,0,,517
COBz (p-benzyloyl),X,C1C=CC=C(C[C-]=O)C=1,-1,,518
COEt (propionyl),X,CC[C-]=O,-1,,519
C₄H₄ (η⁴-cyclobutadiene),LX2,C1=CC=C1,0,,520
AlPh₃ (triphenylaluminium),Z,[Al](C1C=CC=CC=1)(C1C=CC=CC=1)C1C=CC=CC=1,0,,521
C(SMe)Me (methylthiomethylcarbene),L,S([C-2]C)C,-2,,522
C(SPh)H (phenylthiocarbene),L,[CH-2]SC1C=CC=CC=1,-2,,523
EtC≡CEt (hexyne),L,C(CC)#CCC,0,,524
NH₂Prⁱ (isopropylamine),L,C(N)(C)C,0,,525
O=C(C₆H₆) (tropone-κO),L,C1=CC=CC=CC1=O,0,,526
NNPh (phenyldiazo),LX,C1C=CC=C(N=[N-])C=1,-1,,527
SMe₂ (dimethylthioether),L,S(C)C,0,,528
TeMe₂ (dimethyltellurane),L,[Te](C)C,0,,529
Os₂(CO)₈ (bis-tetracarbonylosmium X₂),X2,[Os](C#O)(C#O)(C#O)(C#O)[Os](C#O)(C#O)(C#O)C#O,0,,530
Ru₂(CO)₈ (di{tetracarbonylruthenium X₂}),X2,[Ru](C#O)(C#O)(C#O)(C#O)[Ru](C#O)(C#O)(C#O)C#O,0,,531
"(CO)₄ (tetracarbonyl, (C≡O)₄ tetrahedral Ⓢ)",L4Z2,C#O.C#O.C#O.C#O,0,,532
C₅H₄(COMe) (η⁵-acetylcyclopentadienyl),L2X,[CH-]1C(C(=O)C)=CC=C1,-1,,533
Cr(CO)₃Cp (tricarbonylcyclopentadienylchromium),X,[Cr]1234(C5[C-]1C2=C3C=54)(C#O)(C#O)C#O,0,,534
"C₆H₂Buᵗ₃ (2,4,6-tri-t-butylphenyl)",X,C1(C(C)(C)C)C=C(C(C)(C)C)C=C(C(C)(C)C)[C-]=1,-1,,535
H (↼L agostic type),L,[H-],-1,,536
=C₇H₆ (cycloheptatrienylidene),L,C1=CC=CC=C[C-2]1,-2,,537
GaBuᵗ₂ (di-t-butylgallanyl),X,[Ga](C)(C(C)(C)C)C(C)(C)C,-1,,538
GaI₃ (triiodo-gallane),Z,[Ga](I)(I)I,0,,539
HgI₂ (diiodomercury),Z,[Hg](I)I,0,,540
CNTol (tolyl isocyanide),L,C1C=C(C)C=CC=1[N+]#[C-],0,,541
"C(OCH₂CH₂CMe₂) (2-oxo-3,3-dimethylcyclopentylidene)",L,[O+]1=[C-]C(C)(C)CC1,0,,542
C₅H₃Me₂ (η⁵-dimethylcyclopentadienyl),L2X,[CH-]1C(C)=CC=C1C,-1,,543
NCBr (bromocyano),L,N#CBr,0,,544
OCH₂ (formaldehyde-κO),L,C=O,0,,545
OPy (Pyridine-N-oxide),L,C1C=CC=C[N+]=1[O-],0,,546
P(CF₃)₂ (bis(trifluoromethyl)phosphanyl),X,C([P-]C(F)(F)F)(F)(F)F,-1,,547
Sb(SiMe₃)₂ (bis-trimethylsilyl-stibanyl),X,[Sb-]([Si](C)(C)C)[Si](C)(C)C,-1,,548
SC(NHMe)₂ (methylthiourea),L,C(NC)(NC)=S,0,,549
SHPh (phenylthiol),L,C1C=CC=CC=1S,0,,550
SnI₃ (triiodostannyl),X,[Sn-](I)(I)I,-1,,551
C(OCOMe)Ph (acetoxyphenylcarbene),L,C1C=CC=C([C-2]OC(=O)C)C=1,-2,,552
C(OCOPh)Ph (benzoyloxyphenylcarbene),L,C1(C=CC=CC=1)[C-2]OC(=O)C1C=CC=CC=1,-2,,553
Dppm (bis-(diphenylphosphino)methane-κP),L,P(C1C=CC=CC=1)(C1C=CC=CC=1)CP(C1C=CC=CC=1)C1C=CC=CC=1,0,,554
S₂P(OEt)₂ (diethyldithiophosphato-κS),X,P(OCC)([S-])(OCC)=S,-1,,555
(CO)₃ (tri-μ₂-carbonyl X₄L₂ Ⓢ),LX2,[C-]#[O+].[C-]#[O+].[C-]#[O+],0,,556
PEtPh₂ (ethyldiphenylphosphane),L,P(CC)(C1C=CC=CC=1)C1C=CC=CC=1,0,,557
[16]aneS₄ (tetrathiacyclo-hexadecane-κ⁴S),L4,C1SCCCSCCCSCCCSCC1,0,,558
Te(SiMe₃)₃ (tris-trimethylsilyl-telluryl),X,[Te-]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,559
NH₂NH₃ (hydrazinium),L,[NH3+]N,1,,560
BCp* (pentamethylcyclopentadienylboron),L,[C-]12(B345C(C)(C3(C)=C14C)=C25C)C,0,,561
C₆H₈ (cyclohexadiene),L2,C1=CCCC=C1,0,,562
PBuᵗ₃ (tri-t-butylphosphane),L,P(C(C)(C)C)(C(C)(C)C)C(C)(C)C,0,,563
PTol-o₃ (tri-o-tolylphosphane),L,P(C1C(C)=CC=CC=1)(C1C(C)=CC=CC=1)C1C(C)=CC=CC=1,0,,564
SbBuᵗ₃ (tri-t-butylstibane),L,[Sb](C(C)(C)C)(C(C)(C)C)C(C)(C)C,0,,565
