Ligand,LXZ_Classification,SMILES,Formal_Charge,Notes,Index
As (μ₆-arsenido),LX,[As-]%91%92%93%94%95%96.[*]%91.[*]%92.[*]%93.[*]%94.[*]%95.[*]%96,-1,,56
Pc (phthalocyaninato),L2X2,"C1=CC=CC2=C3N=C4N=C(C5C=CC=CC=54)N=C4[N-]C(C5C=CC=CC=54)=NC4=NC(=NC(=C12)[N-]3)C1C=CC=CC=14 |c:6,18,29,33|",-2,,57
Ind (η⁵-indenyl),L2X,C1C=CC2[CH-]C=CC=2C=1,-1,,58
"Dmpe (1,2-bis-(dimethylphosphino)ethane)",L2,C(P(C)C)CP(C)C,0,,59
"(PMe₂)₂C₆H₄ (1,2-bis-(dimethylphosphino)benzene)",L2,C1C=C(P(C)C)C(P(C)C)=CC=1,0,,60
NPrⁱ₂ (diisopropylamino: planar),LX,[N-](C(C)C)C(C)C,-1,,61
NO₃ (nitrato-κ²O),LX,[O-][N+]([O-])=O,-1,,62
O=CMe₂ (acetone),L,CC(=O)C,0,,63
O=CPh₂ (dibenzophenone),L,C1(C=CC=CC=1)C(=O)C1C=CC=CC=1,0,,64
SePh (phenylselenyl),X,C1C=CC=CC=1[Se-],-1,,65
SiH(SiMe₃)₂ (bis-trimethylsilyl-silyl),X,[SiH-]([Si](C)(C)C)[Si](C)(C)C,-1,,66
TeBz (benzyltellanyl),X,C1C=CC=CC=1C[Te-],-1,,67
TePh (phenyltellanyl),X,C1C=CC=CC=1[Te-],-1,,68
Cot (η⁸-cyclooctatetraene),L3X2,"C1C=CC=CC=CC=1 |c:1,3,5,7|",0,,69
18-crown-6 (18-crown-6-κ⁶O),L6,C1OCCOCCOCCOCCOCCOC1,0,,70
"[18]aneO₄S₂ (tetraoxa-7,16-dithiacyclooctadecane-κ²S,κ⁴O)",L6,C1OCCOCCSCCOCCOCCSC1,0,,71
Phen (phenanthroline),L2,C12C=CC=NC=1C1N=CC=CC=1C=C2,0,,72
"Edta (ethylenediaminetetraacetato-κ²N,κ⁴O)",L2X4,[O-]C(CN(CC(=O)[O-])CCN(CC(=O)[O-])CC(=O)[O-])=O,-4,,73
NO₃ (nitrato-κO),X,[O-][N+](=O)[O-],-1,,74
OC₇H₅(OH) (tropolone-κ²O),L2,C1C(=O)C(O)=CC=CC=1,0,,75
Si(SiMe₃)₃ (tris-trimethylsilyl-silyl),X,[Si-]([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,-1,,76
SPh (phenylthio),X,C1C=C([S-])C=CC=1,-1,,77
OSiBuᵗ₃ (tri-t-butylsiloxy),X,[O-][Si](C(C)(C)C)(C(C)(C)C)C(C)(C)C,-1,,78
NMe₃ (trimethylamine),L,N(C)(C)C,0,,79
C₆F₅ (pentafluorophenyl),X,C1(F)C(F)=[C-]C(F)=C(F)C=1F,-1,,80
OMe (methoxy),X,C[O-],-1,,81
P(SiMe₃)₃ (tris-(trimethylsilyl)-phosphane),L,P([Si](C)(C)C)([Si](C)(C)C)[Si](C)(C)C,0,,82
OSiPh₃ (triphenylsiloxy),X,[Si](C1C=CC=CC=1)(C1C=CC=CC=1)(C1C=CC=CC=1)[O-],-1,,83
Py (pyridine),L,C1C=NC=CC=1,0,,84
OEt (ethoxy),X,[O-]CC,-1,,85
OPrⁱ (isopropoxy),X,[O-]C(C)C,-1,,86
CNBuᵗ (t-butyl isocyanide),L,[C-]#[N+]C(C)(C)C,0,,87
"Dppe (1,2-bis-(diphenylphosphino)ethane-κ²P)",L2,C(P(C1C=CC=CC=1)C1C=CC=CC=1)CP(C1C=CC=CC=1)C1C=CC=CC=1,0,,88
SeEt₂ (diethylselane),L,[Se](CC)CC,0,,89
SeMe₂ (dimethylselane),L,[Se](C)C,0,,90
Tht (tetrahydrothiophene),L,S1CCCC1,0,,91
TMEDA (tetramethylethylenediamine-κ²N),L2,C(N(C)C)CN(C)C,0,,92
Bpy (bipyridine),L2,C1N=C(C2N=CC=CC=2)C=CC=1,0,,93
"Depe (1,2-bis-(diethylphosphino)ethane)",L2,C(P(CC)CC)CP(CC)CC,0,,94
"[9]aneN₃ (1,4,7-triazacyclononane-κ³N)",L3,C1NCCNCCNC1,0,TACN,95
OPh (phenoxy),X,C1C=CC=CC=1[O-],-1,,96
Tp (hydrotris(pyrazolyl)borato-κ³N),L2X,[BH-](N1N=CC=C1)(N1N=CC=C1)N1N=CC=C1,-1,,97
OBuᵗ (t-butyloxy),X,CC(C)(C)[O-],-1,,98
SCH₂CH₂CH₂S (propanedithiolato-κ²S),X2,[S-]CCC[S-],-2,,99
"OC₆H₃Ph₂-2,6 (diphenylphenoxy-2,6)",X,C1(C2C=CC=CC=2)C=CC=C(C2C=CC=CC=2)C=1[O-],-1,,100
OMes (mesityloxy),X,C1(C)C=C(C)C=C(C)C=1[O-],-1,,101
SMes (mesitylthio),X,C1(C)C=C(C)C=C(C)C=1[S-],-1,,102
STol (tolylthio),X,C1C=C(C)C=CC=1[S-],-1,,103
Ind* (η⁵-heptamethylindenyl),L2X,C1(C)C(C)=C(C)C2C(C)=C(C)[C-](C)C=2C=1C,-1,,104
C₆H₃Me₃ (mesitylene),L3,C1C(C)=CC(C)=CC=1C,0,,105
